jed,vrsta,cas priprave [min],zahtevnost,kolicina,st. porcij,avtor,datum,leto
Mesna štruca,koline,,3,,,senka,30.12.2006,2006
Govedina v vinski omaki,govedina,,3,,,sarabande,29.12.2006,2006
Svinjski kotleti v omaki,svinjina,,3,za 4 osebe,4,sarabande,29.12.2006,2006
Piščančja bedra s šampinjoni,perutnina,,3,4,4,Anansie,28.12.2006,2006
Martinova pojedina,ostalo,,3,,,dascha,25.12.2006,2006
Posušen ombolo in vratovina,koline,240,3,,,anamarija1,24.12.2006,2006
Domače klobase,koline,240,3,10 kg klobas,,anamarija1,24.12.2006,2006
Domač pršut,koline,240,4,,,anamarija1,23.12.2006,2006
Polnjena purica,perutnina,,2,ponavadi ogromna,,vukovicpeter,23.12.2006,2006
Pleskavice po moje,mešano meso,45,1,2 osebi,2,anamarija1,20.12.2006,2006
Goveji zrezki v madeirini omaki,govedina,,2,za 4 osebe,4,sarabande,15.12.2006,2006
Ocvirki iz pečice,svinjina,180,1,,,ligojna,14.12.2006,2006
Ocvrti polpeti,sesekljano meso,30,3,,,DUŠANKA,13.12.2006,2006
Piščanec na čebuli,perutnina,30,1,,,Marna,12.12.2006,2006
Piščanec na grški način,perutnina,120,2,4,4,boonkoo,12.12.2006,2006
Meso z veliko čebule,ostalo,,2,,,funuk11,7.12.2006,2006
Lički zrezek,govedina,,2,za 4 osebe,4,antaus,2.12.2006,2006
Mesni zavitek z jajčevci,sesekljano meso,,2,za 4 osebe,4,Elvircek,2.12.2006,2006
Polnjen piščanec z ajdovo kašo,perutnina,120,3,4 osebe,4,Marna,2.12.2006,2006
Telečji ragu alla Hubertus,teletina,,3,,,Hubertus,1.12.2006,2006
Čebulna pečenka z belim vinom,svinjina,180,3,6,6,Marna,1.12.2006,2006
Svinjska rebra z mlinci,svinjina,240,2,,,DUŠANKA,29.11.2006,2006
Polnjen piščanec,perutnina,180,3,za 6 - 8 oseb,8,jasna1,22.11.2006,2006
Ocvrti kaneloni po moje,sesekljano meso,60,1,5 oseb,5,anamarija1,20.11.2006,2006
Sesekljana pečenka,sesekljano meso,,2,,,miia,14.11.2006,2006
Svinjska rebrca s krompirjem,svinjina,,1,6-8 oseb,7,giorgio401,12.11.2006,2006
Piščanec z rižem,teletina,,1,4-6 oseb,5,giorgio401,12.11.2006,2006
Zrezki polnjeni z brokolijem,mešano meso,,1,4-6 oseb,5,giorgio401,11.11.2006,2006
Okusne mesne kroglice,sesekljano meso,,2,6 oseb,6,mansaj,10.11.2006,2006
"""Musaka"" z ohrovtom",mešano meso,,3,2 - 4 osebe (4 manjše porcije ali 2 zelo veliki),,roposai,31.10.2006,2006
Zmešanka št. 14,sesekljano meso,,2,za 8 oseb,8,danca,30.10.2006,2006
Puranji rezanci z zelenjavo,perutnina,,1,za štiri osebe,,mamamia,27.10.2006,2006
Kruh  s curryjem ,drobnica,,2,za 750 g kruha,,mamamia,27.10.2006,2006
Zvitki iz sladkega zelja,sesekljano meso,,2,za  6-8 oseb,7,giorgio401,25.10.2006,2006
Piščanec  v  bešamelni omaki,perutnina,15,1,4 osebe,4,anamarija1,24.10.2006,2006
Zrezki v naravni gobovi omaki,svinjina,,2,4 osebe,4,Bernarda85,24.10.2006,2006
Nadevan  piščanec,perutnina,,3,,,miia,24.10.2006,2006
Dunajski zrezki  v smetanovi omaki  s šampijoni,perutnina,,2,4,4,Bernarda85,3.10.2006,2006
Izvrsten golaž,govedina,,2,10 oseb,10,uroscadez,3.10.2006,2006
Bograč po receptu moje mame,mešano meso,,3,,,lakom-lačen,29.9.2006,2006
Mlada jagnjetina po portugalsko,drobnica,,3,za 6 oseb,6,sarabande,26.9.2006,2006
Polnjena paprika na klasičen način,mešano meso,180,3,8 - 10 paprik,,Atina,20.9.2006,2006
Piščanec s pašto,perutnina,120,1,4 osebe,4,anamarija1,12.9.2006,2006
Taščine polpete,sesekljano meso,,1,,,maxmonka,11.9.2006,2006
Ombolo v zelenjavni omaki,svinjina,30,1,5 oseb,5,anamarija1,3.9.2006,2006
Perutnina v smetanovi omaki ala V,perutnina,,1,za 4 osebe,4,felax,2.9.2006,2006
Polpeti - navadni,ostalo,,2,4 osebe,4,Bernarda85,30.8.2006,2006
Bučkini čolnički,ostalo,,2,4 osebe,4,Bernarda85,30.8.2006,2006
Jagnječji ragu s curryjem in mešanico rižev,drobnica,,2,za 4 osebe,4,sarabande,26.8.2006,2006
Vampi - mamini,notranji deli,,2,,,Danijela-6,21.8.2006,2006
Puranja rolada,perutnina,,1,4 osebe,4,Bernarda85,16.8.2006,2006
Bučke polnjene z mletim mesom,ostalo,120,3,4 osebe,4,boonkoo,13.8.2006,2006
Mešanica s piščancem,perutnina,30,1,za 4 osebe,4,veverica,9.8.2006,2006
Pytt i Panna,ostalo,,1,,,slovinkita,4.8.2006,2006
Goveja solata - Esigfleish,govedina,,1,,,Destiny,30.7.2006,2006
Jetrca v smetanovi omaki,notranji deli,,2,za 4 osebe,4,bannanna,18.7.2006,2006
Vegetini zrezki,govedina,,2,,,galja,14.7.2006,2006
Goveji zrezki v malo drugačni omaki,govedina,45,2,za 2 lačna,,cherry,12.7.2006,2006
Krompirjevo - mesna ponev,ostalo,,1,4,4,anja,11.7.2006,2006
Piščančja mesna pašteta s pinjolami,perutnina,,3,za 4 osebe,4,sarabande,10.7.2006,2006
Zelenjavno - mesni zavitek,sesekljano meso,90,3,,,DUŠANKA,5.7.2006,2006
Piščanec z bučkami,perutnina,,2,,,anja_fri,5.7.2006,2006
Svinjski rezanci v omaki iz sladke smetane,svinjina,,2,4 osebe,4,BogoT,4.7.2006,2006
Rižota z mletim mesom,sesekljano meso,,3,za 4 osebe,4,deklica iz kuhinje,29.6.2006,2006
Najboljši čevapčiči,sesekljano meso,60,2,8 oseb,8,jasna1,27.6.2006,2006
Moji ražnjiči,svinjina,60,2,,,DUŠANKA,25.6.2006,2006
Nadev,mešano meso,30,1,,,Simona84,23.6.2006,2006
Ocvrta nabodala v pivovem testu,ostalo,30,1,,,Simona84,23.6.2006,2006
Hrenovke v gorčično - zelenjavni omaki,ostalo,60,1,,,Simona84,23.6.2006,2006
Nadevana paprika,mešano meso,,1,,,Simona84,22.6.2006,2006
Puranja pečenka z jabolki in hruškami,perutnina,,2,6 oseb,6,anagerzina,21.6.2006,2006
Krompirjevi svaljki v mesni omaki,svinjina,,2,,,m.schafe,20.6.2006,2006
Svinjska pečenka po moje,svinjina,,3,,,BogoT,19.6.2006,2006
Mesne kroglice v paradižnikovi omaki - čufte,mešano meso,,2,12 krogljic,,dascha,16.6.2006,2006
Balzamični piščanec s pršutom,perutnina,,2,za 3 osebe,3,Vendelina jr.,14.6.2006,2006
Ohrovtov narastek z mesom,ostalo,,3,3-4,4,miia,7.6.2006,2006
Pečen pretaknjen svinjski hrbet,svinjina,,3,za 4 osebe,4,sarabande,29.5.2006,2006
Golaž 3. srečanja KUL - Slo,ostalo,,3,100 ljudi:-),,matjaž,27.5.2006,2006
Ragu iz bikovega repa,govedina,,2,6 do 8,,balu,26.5.2006,2006
Riž z mletim mesom in zelenjavo,sesekljano meso,45,2,za 4 lačne,,Blanchy,24.5.2006,2006
Ribji biftek s sirom in posebno klobaso,ostalo,,1,4 do 6,,balu,24.5.2006,2006
Svinjski zrezki z mandlji in sezamom,svinjina,60,2,4,4,DUŠANKA,22.5.2006,2006
Ričota,ostalo,60,1,4 osebe,4,lisicka,21.5.2006,2006
Palačinke s špinačo in mletim mesom,sesekljano meso,,3,4 do 6 oseb,6,mansaj,20.5.2006,2006
Rižota s šparglji in piščancem,perutnina,,3,,,anja,15.5.2006,2006
Kljukuša,perutnina,,2,,,zefokuh,12.5.2006,2006
Zrezki v gobovi omaki,perutnina,30,2,za štiri osebe,,cukerpeker,9.5.2006,2006
Partski piščanec z luštrekom,perutnina,,3,za 3-4 osebe,4,Nasja,4.5.2006,2006
Piščančji curry s čičeriko,perutnina,,2,za 4 osebe,4,proxima,28.4.2006,2006
Ocvrta piščančja jetrca,perutnina,,2,2 osebi,2,monro,27.4.2006,2006
Pečene hrenovke,perutnina,,1,,,,24.4.2006,2006
Telečja obara z žličniki,teletina,60,1,8 oseb,8,val,24.4.2006,2006
Srnin golaž,divjačina,,3,za 6 oseb,6,sarabande,22.4.2006,2006
Puran z ingverjem,perutnina,60,2,za 6 oseb,6,Blanchy,18.4.2006,2006
Puranji zrezki v gobovi omaki,ostalo,,2,,,PERO,17.4.2006,2006
Piščančji zrezki v omaki,perutnina,,2,4,4,kalcicl,17.4.2006,2006
Puranje meso z mlinci,perutnina,,2,,,Miškolina,17.4.2006,2006
Vampi s krompirjem,notranji deli,90,2,,,val,14.4.2006,2006
Mleta pečenka,sesekljano meso,90,2,6 oseb,6,anamarija1,11.4.2006,2006
Pisana ponev,mešano meso,,1,,,anagerzina,11.4.2006,2006
Lazanja s piščančjim mesom,perutnina,75,3,8-10 kosov,9,nektarina,8.4.2006,2006
Junečji tournedo v smetanovi omaki s šampinjoni,govedina,,3,za 4 osebe,4,sarabande,8.4.2006,2006
Pikantna svinjska rebra s prilogo,svinjina,,2,2 osebi,2,pppp,5.4.2006,2006
